L1 Python Lesson 01: In-class Assignment (3031),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 01: Practice Session (3032),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 01: Quiz (3026),PAP-2023-Summer-L1-2-G1,Quiz,20
L1 Python Lesson 02: In-class Assignment (3033),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 02: Practice Session (3034),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 02: Quiz (3023),PAP-2023-Summer-L1-2-G1,Quiz,20
L1 Python Lesson 03: In-class Assignment (3035),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 03: Practice Session (3036),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 03: Quiz (3021),PAP-2023-Summer-L1-2-G1,Quiz,20
L1 Python Lesson 04: In-class Assignment (3037),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 04: Practice Session (3038),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 04: Quiz (3027),PAP-2023-Summer-L1-2-G1,Quiz,22
L1 Python Lesson 05: In-class Assignment (3039),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 05: Practice Session (3040),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 05: Quiz (3024),PAP-2023-Summer-L1-2-G1,Quiz,20
L1 Python Lesson 06: In-class Assignment (3041),PAP-2023-Summer-L1-2-G1,Practice,50
L1 Python Lesson 06: Practice Session (3042),PAP-2023-Summer-L1-2-G1,Practice,50
L1 Python Lesson 07: In-class Assignment (3043),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 07: Practice Session (3044),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 07: Quiz (3022),PAP-2023-Summer-L1-2-G1,Quiz,20
L1 Python Lesson 08: In-class Assignment (3045),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 08: Practice Session (3046),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 08: Quiz (3019),PAP-2023-Summer-L1-2-G1,Quiz,20
L1 Python Lesson 09: In-class Assignment (3047),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 09: Practice Session (3048),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 09: Quiz (3020),PAP-2023-Summer-L1-2-G1,Quiz,20
L1 Python Lesson 10: In-class Assignment (3049),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 10: Practice Session (3050),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 10: Quiz (3025),PAP-2023-Summer-L1-2-G1,Quiz,20
L1 Python Lesson 11: In-class Assignment (3051),PAP-2023-Summer-L1-2-G1,Practice,60
L1 Python Lesson 11: Practice Session (3052),PAP-2023-Summer-L1-2-G1,Practice,40
L1 Python Lesson 12: In-class Assignment (3053),PAP-2023-Summer-L1-2-G1,Practice,80
L1 Python Lesson 12: Practice Session (3054),PAP-2023-Summer-L1-2-G1,Practice,20
L1 Python Lesson 13: In-class Assignment (3055),PAP-2023-Summer-L1-2-G1,Practice,100
L1 Python Final Project: Getting Started & Game Design (3029),PAP-2023-Summer-L1-2-G1,Practice,100
Student Profile content for CFA website (3057),PAP-2023-Summer-L1-2-G1,Practice,0
L1 Python Final Project: Team Presentation (3030),PAP-2023-Summer-L1-2-G1,Practice,50
L1 Python Final Project: Final Team Game Project (3028),PAP-2023-Summer-L1-2-G1,Practice,50
Bonus lesson: modularizing tasks as functions (3067),PAP-2023-Summer-L1-2-G1,Practice,0
L2 HTML CSS Lesson 01: In-class Assignment (3185),PAP-2023-Summer-L2-3-G2,Practice,40
